model,hour,regime,mae,n
moirai-1.1-small-L336,4,Normal,1525.597115944069,333
moirai-1.1-small-L336,5,Normal,2838.40852149024,333
moirai-1.1-small-L336,6,Normal,2925.2214634947445,333
moirai-1.1-small-L336,7,Normal,2631.818063063063,333
moirai-1.1-small-L336,8,Normal,2669.5805984891144,333
moirai-1.1-small-L336,9,Normal,2263.909601398273,333
moirai-1.1-small-L336,10,Normal,1967.202636308183,333
moirai-1.1-small-L336,11,Normal,1874.4159792605103,333
moirai-1.1-small-L336,12,Normal,1880.566817989865,333
moirai-1.1-small-L336,13,Normal,1862.7861139264262,333
moirai-1.1-small-L336,14,Normal,1977.4250872747748,333
moirai-1.1-small-L336,15,Normal,1774.9471222785285,333
moirai-1.1-small-L336,16,Normal,1371.5103326764265,333
moirai-1.1-small-L336,17,Normal,1257.1124056869367,333
moirai-1.1-small-L336,18,Normal,1392.0902834084084,333
moirai-1.1-small-L336,19,Normal,1344.2215235548047,333
moirai-1.1-small-L336,20,Normal,1211.526266188063,333
moirai-1.1-small-L336,21,Normal,945.6073573573574,333
moirai-1.1-small-L336,22,Normal,902.3130595439188,333
moirai-1.1-small-L336,23,Normal,994.399161739865,333
moirai-1.1-small-L336,0,Ramadan,957.2279568326272,59
moirai-1.1-small-L336,1,Ramadan,1005.4177052436436,59
moirai-1.1-small-L336,2,Ramadan,1087.2997709216102,59
moirai-1.1-small-L336,3,Ramadan,1255.8377211334746,59
moirai-1.1-small-L336,4,Ramadan,1893.0013215042377,59
moirai-1.1-small-L336,5,Ramadan,2633.3974841101694,59
moirai-1.1-small-L336,6,Ramadan,3034.0894054555088,59
moirai-1.1-small-L336,7,Ramadan,2681.864134004237,59
moirai-1.1-small-L336,8,Ramadan,2273.963365995763,59
moirai-1.1-small-L336,9,Ramadan,2491.0380376059325,59
moirai-1.1-small-L336,10,Ramadan,2647.044099576271,59
moirai-1.1-small-L336,11,Ramadan,2628.9305376059315,59
moirai-1.1-small-L336,12,Ramadan,2354.3024059851696,59
moirai-1.1-small-L336,13,Ramadan,2029.1633156779653,59
moirai-1.1-small-L336,14,Ramadan,1732.6555323093219,59
moirai-1.1-small-L336,15,Ramadan,1235.2617690677964,59
moirai-1.1-small-L336,16,Ramadan,1299.604759004237,59
moirai-1.1-small-L336,17,Ramadan,1231.7051218220342,59
moirai-1.1-small-L336,18,Ramadan,1214.7884719279655,59
moirai-1.1-small-L336,19,Ramadan,1250.6272987288132,59
moirai-1.1-small-L336,20,Ramadan,1093.1705932203386,59
moirai-1.1-small-L336,21,Ramadan,841.9579793432204,59
moirai-1.1-small-L336,22,Ramadan,864.8591088453392,59
moirai-1.1-small-L336,23,Ramadan,959.8281236758472,59
time-moe-200m-L720,0,aggregate,651.1224391790022,456
time-moe-200m-L720,1,aggregate,668.8082134046053,456
time-moe-200m-L720,2,aggregate,670.8852648711622,456
time-moe-200m-L720,3,aggregate,683.7939079632674,456
time-moe-200m-L720,4,aggregate,823.524916906524,456
